COMMODITY,STATE_NAME,DISTRICT_NAME,MARKET_NAME,VARIETY,COMMODITY_GROUP,ARRIVALS_TONNES,MIN_PRICE_RS_QUINTAL,MAX_PRICE_RS_QUINTAL,MODAL_PRICE_RS_QUINTAL,REPORTED_DATE
Amaranthus,Kerala,Kollam,Anchal,Other,Vegetables,0.50,5500,5700,5600,01 Oct 2023
Amaranthus,Kerala,Thiruvananthapuram,Attingal,Other,Vegetables,0.95,4700,5200,5000,01 Oct 2023
Amaranthus,Kerala,Thiruvananthapuram,Kattakada,Amaranthus,Vegetables,"3,800.00",3500,4000,3500,01 Oct 2023
Amaranthus,Kerala,Alappuzha,Kayamkulam,Other,Vegetables,1.00,3300,3500,3400,01 Oct 2023
Amaranthus,Kerala,Palakad,Kollengode,Other,Vegetables,0.05,2500,3000,2800,01 Oct 2023
Amaranthus,Kerala,Kottayam,Pampady,Amaranthus,Vegetables,1.00,3000,3400,3200,01 Oct 2023
Amaranthus,Kerala,Pathanamthitta,Parakkodu,Other,Vegetables,3.00,3000,4000,3500,01 Oct 2023
Amaranthus,Kerala,Idukki,Vandiperiyar,Amaranthus,Vegetables,0.03,3000,3200,3200,01 Oct 2023
Amaranthus,Kerala,Palakad,Vithinasserri,Amaranthus,Vegetables,0.01,2000,2000,2000,01 Oct 2023
Amaranthus,Telangana,Adilabad,Chinnoar,Amaranthus,Vegetables,0.10,3000,3000,3000,01 Oct 2023
AmlaNelliKai,Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Other,Fruits,2.30,2500,3000,2800,01 Oct 2023
AmlaNelliKai,Kerala,Idukki,Nedumkandam,Other,Fruits,0.10,4500,4500,4500,01 Oct 2023
AmlaNelliKai,Maharashtra,Pune,Pune,Other,Fruits,4.00,2500,3000,2700,01 Oct 2023
AmlaNelliKai,Telangana,Hyderabad,Bowenpally,Amla,Fruits,4.20,3000,4500,4200,01 Oct 2023
Amphophalus,Kerala,Alappuzha,Alappuzha,Other,Cereals,0.01,4500,5500,5000,01 Oct 2023
Amphophalus,Kerala,Thiruvananthapuram,Aralamoodu,Amphophalus,Cereals,0.30,4000,4000,4000,01 Oct 2023
Amphophalus,Kerala,Thiruvananthapuram,Attingal,Other,Cereals,0.95,4700,5500,5000,01 Oct 2023
Amphophalus,Kerala,Kottayam,Kanjirappally,Other,Cereals,1.00,5500,6000,5800,01 Oct 2023
Amphophalus,Kerala,Alappuzha,Kayamkulam,Other,Cereals,1.00,4700,4900,4800,01 Oct 2023
Amphophalus,Kerala,Thirssur,Pariyaram,Amphophalus,Cereals,0.10,5000,5400,5200,01 Oct 2023
Amphophalus,Kerala,Pathanamthitta,Puramattom,Amphophalus,Cereals,0.35,4500,5000,4700,01 Oct 2023
